pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn
6351736,1,0,2,7,0,15,13,0,0,1,3,3,2,2,2,2,1,1,5,5,1,2,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,8,0,2,0,0,0,2,2,0,1,2,3
7619862,1,0,4,7,0,3,14,0,0,1,2,2,2,2,0,0,0,0,2,3,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,6,0,3,0,0,0,0,2,0,1,2,3
5958785,1,0,2,1,0,8,11,0,0,1,5,5,5,5,0,0,0,0,5,5,1,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,1,9,1,0,15,0,0,0,1,4,1,1,2,3
8289513,1,0,0,1,0,2,10,0,0,1,3,3,4,4,0,0,0,0,8,4,1,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,9,0,0,2,0,0,1,3,0,1,2,3
7758047,1,0,5,5,0,13,53,0,0,1,43,43,41,41,0,0,0,0,38,38,1,2,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,1,2,2,1,9,2,1,2,1,1,1,1,1,4,4,4,4,1,1,1,25,0,3,0,0,0,47,48,2,1,2,1
8668529,1,0,1,1,0,9,15,0,0,1,2,2,1,1,6,6,5,0,3,2,1,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,1,2,2,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,1,8,0,0,6,0,1,1,1,1,1
7871299,1,0,1,5,0,8,28,0,0,1,1,1,1,1,8,8,0,0,15,10,1,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,1,1,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,6,0,6,0,0,0,0,6,1,1,1,1
4350645,1,0,1,1,0,3,10,0,0,1,4,4,4,4,1,1,1,1,6,6,1,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,9,0,1,0,1,0,1,3,1,1,2,3
9624898,1,0,11,5,0,6,23,11,0,1,12,12,10,10,1,1,0,0,6,3,1,2,1,1,2,2,2,2,1,1,2,2,2,1,1,1,2,1,1,1,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,14,0,4,25,7,0,1,7,3,1,2,1
3347916,2,0,2,1,0,8,19,0,0,1,10,10,9,9,0,0,0,0,10,19,1,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,0,15,0,3,2,1,2,3,1,1,2
